run_id,ticker,horizon,W_star,rho_train,rho_test
20260303T231001Z,CI,42,300,0.45950698699827563,0.2011631314383608
20260303T231001Z,CIEN,10,220,0.22276886023306958,-0.28679973523022856
20260303T231001Z,CIEN,21,220,0.17567184330139074,-0.309785260791252
20260303T231001Z,CIEN,31,60,0.1149118998185815,-0.44787984063094627
20260303T231001Z,CIEN,42,60,0.10869112934528184,-0.42384108091844475
20260303T231001Z,CINF,10,300,0.515715162979348,-0.14239790775601385
20260303T231001Z,CINF,21,300,0.5958128106285617,-0.1004750974216623
20260303T231001Z,CINF,31,300,0.6422403951276235,-0.17110147676466597
20260303T231001Z,CINF,42,300,0.6910834412716186,-0.32011811644839167
20260303T231001Z,CL,10,300,0.3350419552692802,0.3780980781280452
20260303T231001Z,CL,21,300,0.2864411052457532,0.5302033844018577
20260303T231001Z,CL,31,300,0.32254625856416824,0.4715079257553176
20260303T231001Z,CL,42,300,0.3216692889236316,0.42221220386358
20260303T231001Z,CLX,10,300,-0.007559927029456952,0.5951222885595077
20260303T231001Z,CLX,21,300,-0.037098414684355145,0.8646185875193508
20260303T231001Z,CLX,31,300,-0.03316349527948022,0.8146118412139275
20260303T231001Z,CLX,42,300,-0.0061381140381834695,0.8037553817370332
20260303T231001Z,CMCSA,10,300,0.32684061694121547,-0.16094394068622417
20260303T231001Z,CMCSA,21,300,0.39471231697603754,-0.4445684086905461
20260303T231001Z,CMCSA,31,300,0.47634219203183525,-0.46371765343449384
20260303T231001Z,CMCSA,42,300,0.503445031194948,-0.38691251718774655
20260303T231001Z,CME,10,20,0.22008728471330763,0.06089952783878161
20260303T231001Z,CME,21,300,0.1465192645562859,0.03991352159291091
20260303T231001Z,CME,31,300,0.1666961104624552,0.10545319062457659
