run_id,ticker,W_star,h_star,rho_train,rho_test
20260303T233831Z,PG,200,10,0.3204415186481723,-0.07004747165692721
20260303T233831Z,PGR,20,15,0.1532672052345528,0.359525390361248
20260303T233831Z,PH,300,60,0.5299774728562573,0.5291832991692739
20260303T233831Z,PHM,300,60,0.4934818914221698,0.32325878889693754
20260303T233831Z,PKG,300,60,0.6256661450130364,0.3351108919131359
20260303T233831Z,PLD,220,15,0.543148890363768,0.23838648609290813
20260303T233831Z,PLTR,160,55,0.5686773935506557,-0.6599834128136015
20260303T233831Z,PM,300,15,0.47919619421649184,-0.22840554819198386
20260303T233831Z,PNC,300,60,0.6441667494782867,-0.13861874450934758
20260303T233831Z,PNR,300,60,0.8877173090107858,0.6115161136199003
20260303T233831Z,PNW,300,30,0.26997507592945685,0.23154044167456983
20260303T233831Z,PODD,180,10,0.3719945570996513,0.45097485796909403
20260303T233831Z,POOL,300,25,0.5800107794977316,0.3513955286839145
20260303T233831Z,PPG,300,60,0.8004689163307135,-0.14435214154709244
20260303T233831Z,PPL,300,15,0.548985341184403,-0.2139703548826703
20260303T233831Z,PRU,280,60,0.7408445317416728,-0.6682099292718762
20260303T233831Z,PSA,260,25,0.5373705992236298,0.016165603388747462
20260303T233831Z,PSKY,280,15,0.3695737463461493,0.13008329250367467
20260303T233831Z,PTC,280,10,0.30301002223918017,0.11089659182483935
20260303T233831Z,PWR,260,40,0.6013936534146627,0.24756525126606932
20260303T233831Z,PYPL,240,60,0.5134694363513728,0.25624833411928727
20260303T233831Z,QCOM,100,15,0.2901065090347496,0.10226007158785062
20260303T233831Z,RCL,280,60,0.72946639295637,-0.6906925889226775
20260303T233831Z,REG,280,60,0.7570292999803351,0.7046759148529059
20260303T233831Z,REGN,20,30,0.06417899808144059,0.4447531776092896
20260303T233831Z,RF,280,60,0.5042572281481253,-0.3151330850445894
20260303T233831Z,RJF,280,60,0.6624053895496551,-0.08120066969624493
